name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	Neuronexus polytrode	34.5	418.0	0.0	n/a	n/a	main	n/a
e001	Neuronexus polytrode	11.5	429.0	0.0	n/a	n/a	main	n/a
e002	Neuronexus polytrode	0.0	440.0	0.0	n/a	n/a	main	n/a
e003	Neuronexus polytrode	11.5	440.0	0.0	n/a	n/a	main	n/a
e004	Neuronexus polytrode	23.0	440.0	0.0	n/a	n/a	main	n/a
e005	Neuronexus polytrode	34.5	440.0	0.0	n/a	n/a	main	n/a
e006	Neuronexus polytrode	0.0	451.0	0.0	n/a	n/a	main	n/a
e007	Neuronexus polytrode	11.5	451.0	0.0	n/a	n/a	main	n/a
e008	Neuronexus polytrode	23.0	451.0	0.0	n/a	n/a	main	n/a
e009	Neuronexus polytrode	34.5	451.0	0.0	n/a	n/a	main	n/a
e010	Neuronexus polytrode	0.0	462.0	0.0	n/a	n/a	main	n/a
e011	Neuronexus polytrode	11.5	462.0	0.0	n/a	n/a	main	n/a
e012	Neuronexus polytrode	23.0	462.0	0.0	n/a	n/a	main	n/a
e013	Neuronexus polytrode	34.5	462.0	0.0	n/a	n/a	main	n/a
e014	Neuronexus polytrode	0.0	473.0	0.0	n/a	n/a	main	n/a
e015	Neuronexus polytrode	11.5	473.0	0.0	n/a	n/a	main	n/a
e016	Neuronexus polytrode	23.0	473.0	0.0	n/a	n/a	main	n/a
e017	Neuronexus polytrode	34.5	473.0	0.0	n/a	n/a	main	n/a
e018	Neuronexus polytrode	0.0	484.0	0.0	n/a	n/a	main	n/a
e019	Neuronexus polytrode	11.5	484.0	0.0	n/a	n/a	main	n/a
e020	Neuronexus polytrode	23.0	484.0	0.0	n/a	n/a	main	n/a
e021	Neuronexus polytrode	34.5	484.0	0.0	n/a	n/a	main	n/a
e022	Neuronexus polytrode	0.0	495.0	0.0	n/a	n/a	main	n/a
e023	Neuronexus polytrode	11.5	495.0	0.0	n/a	n/a	main	n/a
e024	Neuronexus polytrode	34.5	495.0	0.0	n/a	n/a	main	n/a
e025	Neuronexus polytrode	0.0	506.0	0.0	n/a	n/a	main	n/a
e026	Neuronexus polytrode	11.5	506.0	0.0	n/a	n/a	main	n/a
e027	Neuronexus polytrode	34.5	506.0	0.0	n/a	n/a	main	n/a
e028	Neuronexus polytrode	11.5	517.0	0.0	n/a	n/a	main	n/a
e029	Neuronexus polytrode	23.0	517.0	0.0	n/a	n/a	main	n/a
e030	Neuronexus polytrode	34.5	517.0	0.0	n/a	n/a	main	n/a
e031	Neuronexus polytrode	34.5	528.0	0.0	n/a	n/a	main	n/a
